epoch,train_acc,val_acc,train_loss,val_loss
1,0.8180822134017944,0.8928571343421936,0.5887638330459595,0.33976098895072937
2,0.9189041256904602,0.8928571343421936,0.2492501586675644,0.3358595371246338
3,0.9446575045585632,0.9441964030265808,0.1581192910671234,0.19574008882045746
4,0.9747945070266724,0.9308035969734192,0.08568605780601501,0.21160319447517395
5,0.9786301255226135,0.921875,0.06283862888813019,0.28858616948127747
6,0.9797260165214539,0.9151785969734192,0.05699164420366287,0.27367523312568665
7,0.9846575260162354,0.9241071343421936,0.05687086284160614,0.25866788625717163
8,0.9819177985191345,0.9352678656578064,0.05518214777112007,0.2694386839866638
9,0.9813698530197144,0.9375,0.06005839258432388,0.2123001515865326
10,0.9906849265098572,0.9419642686843872,0.02927880547940731,0.18654629588127136
11,0.9945205450057983,0.9285714030265808,0.0189675260335207,0.26854878664016724
12,0.9912328720092773,0.9308035969734192,0.02343210019171238,0.31525716185569763
13,0.9895890355110168,0.9285714030265808,0.03021727316081524,0.25352901220321655
14,0.9950684905052185,0.9375,0.015714731067419052,0.2710314691066742
15,0.996712327003479,0.9196428656578064,0.013848294503986835,0.25526487827301025
16,0.9972602725028992,0.9263392686843872,0.008916244842112064,0.2801060080528259
17,0.996712327003479,0.9330357313156128,0.013989546336233616,0.24890515208244324
18,0.9972602725028992,0.9375,0.010351298376917839,0.25041040778160095
19,0.9972602725028992,0.9397321343421936,0.011606471613049507,0.2642083168029785
20,0.9906849265098572,0.9196428656578064,0.0259149931371212,0.31604140996932983
21,0.8093150854110718,0.9352678656578064,0.7131898403167725,0.31219425797462463
22,0.8745205402374268,0.9464285969734192,0.3954976201057434,0.2660355567932129
23,0.9046575427055359,0.9375,0.28840839862823486,0.24574044346809387
24,0.9221917986869812,0.9352678656578064,0.24644377827644348,0.29556533694267273
25,0.9435616731643677,0.9419642686843872,0.16522927582263947,0.25073257088661194
